TOL,BDRC,URL
P2387,P1132,https://treasuryoflives.org/biographies/view/Ngorchen-Kunga-Zangpo/2387
P2392,P1137,https://treasuryoflives.org/biographies/view/First-Taktser-Lobzang-Dorje/2392
P2393,P1138,https://treasuryoflives.org/biographies/view/Fifth-Taktser-Lobzang-Tsultrim-Jigme-Gyatso/2393
P2399,P1143,https://treasuryoflives.org/biographies/view/Second-Taktser-Yeshe-Kelzang/2399
P2409,P1152,https://treasuryoflives.org/biographies/view/Namkha-Sengge/2409
P2419,P1161,https://treasuryoflives.org/biographies/view/Eighth-Dunkar-Dungkar-Lobzang-Trinle/2419
P2423,P1165,https://treasuryoflives.org/biographies/view/Surkhang-Wangchen-Gelek/2423
P2427,P1169,https://treasuryoflives.org/biographies/view/Pelden-Gyeltsen/2427
P2434,P1175,https://treasuryoflives.org/biographies/view/Yonten-Gyatso/2434
P2436,P1177,https://treasuryoflives.org/biographies/view/Lobzang-Dondrub/2436
P2441,P1181,https://treasuryoflives.org/biographies/view/First-Changkya-Drakpa-Ozer/2441
P2442,P1182,https://treasuryoflives.org/biographies/view/Damcho-Gyatso/2442
P2456,P1195,https://treasuryoflives.org/biographies/view/Trichen-88-Khyenrab-Yonten-Gyatso/2456
P2462,P120,https://treasuryoflives.org/biographies/view/Gyelwa-Gyatso/2462
P2469,P1206,https://treasuryoflives.org/biographies/view/Fifth-Maṇipa-Lobzang-Chopel-Gyatso/2469
P2483,P1219,https://treasuryoflives.org/biographies/view/Kyoton-Monlam-Tsultrim/2483
P2491,P1226,https://treasuryoflives.org/biographies/view/Lama-Dampa-Sonam-Gyeltsen-Pelzangpo/2491
P2495,P123,https://treasuryoflives.org/biographies/view/Drungchen-Sherab-Gyatso/2495
P2504,P1238,https://treasuryoflives.org/biographies/view/Machik-Zhama/2504
P2506,P124,https://treasuryoflives.org/biographies/view/Third-Jamyang-Zhepa-Tubten-Jigme-Gyatso/2506
P2510,P1243,https://treasuryoflives.org/biographies/view/Padampa-Sanggye-/2510
P2521,P1253,https://treasuryoflives.org/biographies/view/Rongwo-Drubchen-07-Lobzang-Trinle-Lungtok-Gyatso/2521
P2523,P1255,https://treasuryoflives.org/biographies/view/Trichen-34-Ngawang-Chokyi-Gyeltsen/2523
P2527,P1259,https://treasuryoflives.org/biographies/view/Sixth-Zhabdrung-Karpo-Ngawang-Chokdrub-Tenpai-Gyeltsen/2527
P2539,P127,https://treasuryoflives.org/biographies/view/Pakmodrupa-Dorje-Gyelpo/2539
P2561,P129,https://treasuryoflives.org/biographies/view/Lobpon-Tsilungpa/2561
P2577,P1303,https://treasuryoflives.org/biographies/view/Drakpa-Sherab/2577
P2578,P1304,https://treasuryoflives.org/biographies/view/Zeu-Drakpa-Tsondru/2578
P2584,P131,https://treasuryoflives.org/biographies/view/Won-Sherab-Jungne/2584
P2589,P1314,https://treasuryoflives.org/biographies/view/Katokpa-Dampa-Deshek/2589
P2591,P1316,https://treasuryoflives.org/biographies/view/Neusurpa-Yeshe-Bar/2591
P2592,P1317,https://treasuryoflives.org/biographies/view/Drubchen-Namkha-Gyeltsen/2592
P2593,P1318,https://treasuryoflives.org/biographies/view/Shupu-Namkha-Sengge/2593
P2595,P132,https://treasuryoflives.org/biographies/view/Chennga-Drakpa-Jungne/2595
P2598,P1322,https://treasuryoflives.org/biographies/view/Gonpawa-Wangchuk-Gyeltsen/2598
P2606,P133,https://treasuryoflives.org/biographies/view/Ngoje-Repa/2606
P2638,P136,https://treasuryoflives.org/biographies/view/Duldzinpa-Takmapa-Kawa-Darseng/2638
P2639,P1360,https://treasuryoflives.org/biographies/view/Karma-Ngedon-Tendzin-Trinle-Rabgye/2639
P2640,P1361,https://treasuryoflives.org/biographies/view/Karma-Ngelek-Tendzin-Trinle-Rabgye/2640
P2661,P1380,https://treasuryoflives.org/biographies/view/First-Gyeltsab-Peljor-Dondrub/2661
P2662,P1382,https://treasuryoflives.org/biographies/view/Tenth-Karmapa-Choying-Dorje/2662
P2665,P1385,https://treasuryoflives.org/biographies/view/Third-Pawo-Tsuklak-Gyatso/2665
P2670,P139,https://treasuryoflives.org/biographies/view/Dolpopa-Sherab-Gyeltsen/2670
P2683,P1400,https://treasuryoflives.org/biographies/view/First-Karmapa-Dusum-Khyenpa/2683
P2687,P1404,https://treasuryoflives.org/biographies/view/Chokyi-Sengge/2687
P2693,P1410,https://treasuryoflives.org/biographies/view/Fifth-Karmapa-Dezhin-Shekpa/2693
P2712,P1428,https://treasuryoflives.org/biographies/view/Taranata/2712
P2720,P1435,https://treasuryoflives.org/biographies/view/Sonam-Puntsok/2720
P2730,P1445,https://treasuryoflives.org/biographies/view/Karma-Shedrub-Chokyi-Sengge/2730
P2733,P1448,https://treasuryoflives.org/biographies/view/Orgyenpa-Rinchen-Pel/2733
P2740,P1454,https://treasuryoflives.org/biographies/view/Yungton-Dorje-Pel/2740
P2742,P1456,https://treasuryoflives.org/biographies/view/Fourth-Karmapa-Rolpai-Dorje/2742
P2755,P1468,https://treasuryoflives.org/biographies/view/Fifth-Tongkhor-Sonam-Gyatso/2755
P2758,P1470,https://treasuryoflives.org/biographies/view/Fourth-Jamyang-Zhepa-Kelzang-Tubten-Wangchuk/2758
P2774,P1485,https://treasuryoflives.org/biographies/view/Chokyi-Gyelpo/2774
P2776,P1487,https://treasuryoflives.org/biographies/view/Second-Karmapa-Karma-Pakshi/2776
P2780,P1490,https://treasuryoflives.org/biographies/view/Sonam-Bum/2780
P2781,P1492,https://treasuryoflives.org/biographies/view/Jampa-Bum/2781
P2784,P1495,https://treasuryoflives.org/biographies/view/Fifth-Jamyang-Zhepa-Lobzang-Jamyang-Yeshe-Tenpai-Gyeltsen/2784
P2787,P1498,https://treasuryoflives.org/biographies/view/Amchok-03-Jamyang-Khyenrab-Gyatso/2787
P2788,P1499,https://treasuryoflives.org/biographies/view/Jigme-Trinle-Gyatso/2788
P2789,P15,https://treasuryoflives.org/biographies/view/Nyo-Gyelwa-Lhanangpa-Sanggye-Rinchen/2789
P2790,P150,https://treasuryoflives.org/biographies/view/Khetsun-Yonten-Gyatso/2790
P2791,P1500,https://treasuryoflives.org/biographies/view/Tsonawa-Sherab-Zangpo/2791
P2798,P1507,https://treasuryoflives.org/biographies/view/Kunden-Repa-/2798
P2799,P1508,https://treasuryoflives.org/biographies/view/Tropu-Gyeltsa-Rinchen-Gon/2799
P2801,P151,https://treasuryoflives.org/biographies/view/Sasang-Mati-Paṇchen-Lodro-Gyeltsen/2801
P2803,P1511,https://treasuryoflives.org/biographies/view/Jangsem-Gyelwa-Yeshe-/2803
P2806,P1514,https://treasuryoflives.org/biographies/view/Kodrakpa-Sonam-Gyeltsen/2806
P2810,P1518,https://treasuryoflives.org/biographies/view/Śākyaśrībhadra/2810
P2812,P152,https://treasuryoflives.org/biographies/view/Chokle-Namgyel/2812
P2814,P1521,https://treasuryoflives.org/biographies/view/Trichen-36-Tendzin-Lekshe/2814
P2816,P1523,https://treasuryoflives.org/biographies/view/Lachen-Gongpa-Rabsel/2816
P2819,P1526,https://treasuryoflives.org/biographies/view/Trichen-71-Yeshe-Tardo-/2819
P2823,P153,https://treasuryoflives.org/biographies/view/Jonang-Lotsawa-Lodro-Pel/2823
P2845,P155,https://treasuryoflives.org/biographies/view/Buton-Rinchen-Drub/2845
P2854,P1558,https://treasuryoflives.org/biographies/view/Dondrub-Rinchen/2854
P2866,P1569,https://treasuryoflives.org/biographies/view/Jamyang-Sherab-Gyatso/2866
P2871,P1573,https://treasuryoflives.org/biographies/view/Trichen-22-Gendun-Tenpa-Dargye/2871
P2872,P1574,https://treasuryoflives.org/biographies/view/Trichen-44-Lodro-Gyatso/2872
P2891,P1591,https://treasuryoflives.org/biographies/view/Duldzin-Drakpa-Gyeltsen/2891
P2896,P1597,https://treasuryoflives.org/biographies/view/Jamyang-Donyo-Pelden/2896
P2899,P16,https://treasuryoflives.org/biographies/view/Jigten-Gonpo-Rinchen-Pel/2899
P2912,P1611,https://treasuryoflives.org/biographies/view/Trichen-09-Lobzang-Nyima/2912
P2915,P1614,https://treasuryoflives.org/biographies/view/Drakpa-Gyeltsen/2915
P2916,P1615,https://treasuryoflives.org/biographies/view/Sachen-Kunga-Nyingpo/2916
P2919,P1618,https://treasuryoflives.org/biographies/view/Sonam-Tsemo/2919
P2926,P8LS13405,https://treasuryoflives.org/biographies/view/Tewo-Lungzang-Nangwa-Lobzang-Samten/2926
P2931,P1629,https://treasuryoflives.org/biographies/view/Drakpa-Shedrub/2931
