BDRC Control,BDRC RID,BDRC IG,Record Number,Title,Author,Topic,Topic RID,Collection,Language,Script,Material,"Support (Manuscript, Pecha, book, etc.)",Creation Date (if known),Creation Date in Common Era,"Dimensions 1 (i.e. Length, etc. in cm)","Dimensions 2 (i.e. Height, etc. in cm)",Number of folios,Lines per leaf/folio,rKTs number (if applicable),Notes,Publisher,Publication Date,Publisher Location,Series,Volume
W1NPL164-I1NPL164,W1NPL164,I1NPL164,0013,Dhāraṇī saṁgraha,,Dhāraṇī,T933,Yagya Ratna Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,29 cms,7.7 cms,183,5,N/A,,,,,,
W1NPL113-I1NPL113,W1NPL113,I1NPL113,0014,Dhanakara dhamākara uddhāraṇa kathā,,Kathā,T216,Yagya Ratna Shakya,Nepal Bhasa,Devanagari,Thyāsaphū,Manuscript,,,30 cms,15 cms,13,10,N/A,,,,,,
W1NPL38-I1NPL38,W1NPL38,I1NPL38,0038,Devatā Sūtra,,Sūtra,T769,Yagya Ratna Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,,,18cms,8cms,10,7,K329,,,,,,
W1NPL90-I1NPL90,W1NPL90,I1NPL90,0090,Daurga sidhyām vṛttau saṁdhau dvitīya,,,,Yagya Ratna Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,,,20cms,4cms,5,6,N/A,,,,,,
W1NPL27-I1NPL27,W1NPL27,I1NPL27,0027,Catuṣaṣṭhī sambara stotra,,Stotra,T67,Yagya Ratna Shakya,Sanskrit,Devanagari,Yellow Paper,Manuscript,,,18cms,6cms,14,5,N/A,,,,,,
W1NPL10-I1NPL10,W1NPL10,I1NPL10,0010,Caryāgīta evaṁ pūjā saphū,,Caryāgīta,T246,Yagya Ratna Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,23.6 cms,9.4 cms,52,6,N/A,,,,,,
W1NPL157-I1NPL157,W1NPL157,I1NPL157,0011,Cāṇakya sāra saṁgraha,,Nīti,T2033,Yagya Ratna Shakya,Nepali,Devanagari,Yellow Paper,Manuscript,,,22 cms,10 cms,61,8,N/A,,,,,,
W1NPL158-I1NPL158,W1NPL158,I1NPL158,0012,Cāṇakya,,Liturgy,T977,Yagya Ratna Shakya,Sanskrit,Devanagari,Bound Mss.,Manuscript,,,16.5 cms,9 cms,7,15,N/A,,,,,,
W1NPL188-I1NPL188,W1NPL188,I1NPL188,0013,Cānake tṛtīya śataka,,Nīti,T2033,Kiran Shakya,Nepal Bhasa,Pracalita,Thyāsaphū,Manuscript,,,23 cms,11.5 cms,47,9,N/A,,,,,,
W1NPL178-I1NPL178,W1NPL178,I1NPL178,0014,Cānake sārasaṁgrahe prathama śataka,,Nīti,T2033,Kiran Shakya,Nepal Bhasa,Devanagari,Thyāsaphū,Manuscript,,,22.5 cms,11.5 cms,23,8,N/A,,,,,,
W1NPL129-I1NPL129,W1NPL129,I1NPL129,0015,Cacāsaphū,,Caryāgīta,T246,Kiran Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,24.5 cms,10.5 cms,40,7,N/A,,,,,,
W1NPL187-I1NPL187,W1NPL187,I1NPL187,0016,Cacā munā,,Caryāgīta,T246,Kiran Shakya,Sanskrit,Devanagari,Yellow Paper,Manuscript,,,9.5 cms,15.5 cms,19,,N/A,,,,,,
W1NPL36-I1NPL36,W1NPL36,I1NPL36,0036,Bodha Śruta,,Stotra,T67,Yagya Ratna Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,NS 763,1642 CE,18cms,4cms,7,5,N/A,,,,,,
W1NPL42-I1NPL42,W1NPL42,I1NPL42,0042,Bhūtadāmara tantra,,Tantra,T2129,Shantasri Ratna Bajracharya,Sanskrit,Devanagari,Yellow Paper,Manuscript,,,17cms,12cms,39,10,K741,,,,,,
W1NPL52-I1NPL52,W1NPL52,I1NPL52,0052,Bhīmasena nāma stotra,,Stotra,T67,Yagya Ratna Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,14cms,7cms,30,7,N/A,,,,,,
W1NPL144-I1NPL144,W1NPL144,I1NPL144,0053,Atha vāstukalā likhyate,,Vāstukalā,T2516,Yagya Ratna Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,,,26.5 cms,10.5 cms,18,8,N/A,,,,,,
W1NPL192-I1NPL192,W1NPL192,I1NPL192,0054,Atha śrī mahāpratyaṁgirā āraṁbha,,Stotra/Dhāraṇī,T67 & T933,Yagya Ratna Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,NS 1021,1900 CE,31.5 cms,9.7 cms,150,6,N/A,,,,,,
W1NPL23-I1NPL23,W1NPL23,I1NPL23,0023,Aśvaṭṭhakṣa stotra,,Stotra,T67,Yagya Ratna Shakya,Sanskrit,Ranjana/Pracalita,Yellow Paper,Manuscript,,,24 cms,4cms,13,6,N/A,,,,,,
W1NPL195-I1NPL195,W1NPL195,I1NPL195,0024,Aṣṭamī vrata vidhāna,,Vratavidhi,T977,Yagya Ratna Shakya,Sanskrit/Nepal Bhasa,Pracalita,Thyāsaphū,Manuscript,NS 982,1861 CE,19.2 cms,10.1 cms,42,7,N/A,,,,,,
W1NPL112-I1NPL112,W1NPL112,I1NPL112,0025,Aṣṭamī vrata mahābhaya sānumaṁtra jānakhanāma,,Kathā,T216,Yagya Ratna Shakya,Sanskrit/Nepal Bhasa,Devanagari,Thyāsaphū,Manuscript,,,30 cms,16 cms,42,10,N/A,,,,,,
W1NPL103-I1NPL103,W1NPL103,I1NPL103,0026,Āryyatārā samādhivratavidhi,,Vratavidhi,T977,Yagya Ratna Shakya,Sanskrit,Devanagari,Bound Mss.,Manuscript,,,21 cms,11 cms,16,5,N/A,,,,,,
W1NPL194-I1NPL194,W1NPL194,I1NPL194,0027,Āryya suvarṇṇa prabhāsottama sutrendrarājaḥparisūtra,,Sūtra,T769,Yagya Ratna Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,,,25.8 cms,8.2 cms,99,7,K551,,,,,,
W1NPL107-I1NPL107,W1NPL107,I1NPL107,0028,Ārya tārā śragdhārā stotra,,Stotra,T67,Yagya Ratna Shakya,Sanskrit,Pracalita,Bound Mss.,Manuscript,NS 1012,1891 CE,28 cms,14 cms,27,12,N/A,,,,,,
W1NPL132-I1NPL132,W1NPL132,I1NPL132,0029,Ārya nāmasaṁgīti,,Tantra and Stotra,T2129 & T67,Purna Bahadur Bajracharya ?,Sanskrit,Ranjana,Bound Mss.,Manuscript,,,23 cms,15.5 cms,9,19,K360,,,,,,
W1NPL151-I1NPL151,W1NPL151,I1NPL151,0030,Ārya kāraṇḍavyūhammahāyāna sūtraratna rāja,,Sūtra,T769,Kiran Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,NS 777,1656 CE,20 cms,8 cms,,9,K116,,,,,,
W1NPL165-I1NPL165,W1NPL165,I1NPL165,0031,Ārya dvādaśa sāhasrikayāṁ mahāpratyaṁgirāyo,,Dhāraṇī,T933,Yagya Ratna Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,,,32 cms,10 cms,145,6,N/A,,,,,,
W1NPL122-I1NPL122,W1NPL122,I1NPL122,0032,Anantanāgarājā,,Kathā,T216,Yagya Ratna Shakya,Nepal Bhasa,Pracalita,Thyāsaphū,Manuscript,,,24 cms,9.5 cms,7,8,N/A,,,,,,
W1NPL15-I1NPL15,W1NPL15,I1NPL15,0015,Ambaracakravartisarvamdadāvadāna,,Avadāna,T1779,Yagya Ratna Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,,,24 cms,12cms,39,13,N/A,,,,,,
W1NPL87-I1NPL87,W1NPL87,I1NPL87,0087,Amarakośa śloka sūcī,,Sanskrit vyākaraṇa,T282,Rūpaskandha Bajracharya,Sanskrit,Devanagari,Yellow Paper,Manuscript,BS 1818,1761 CE,20cms,7cms,36,13,N/A,,,,,,
