BDRC Control,BDRC RID,BDRC IG,Record Number,Title,Author,Topic,Topic RID,Collection,Language,Script,Material,"Support (Manuscript, Pecha, book, etc.)",Creation Date (if known),Creation Date in Common Era,"Dimensions 1 (i.e. Length, etc. in cm)","Dimensions 2 (i.e. Height, etc. in cm)",Number of folios,Lines per leaf/folio,rKTs number (if applicable),Notes,Publisher,Publication Date,Publisher Location,Series,Volume
W1NPL121-I1NPL121,W1NPL121,I1NPL121,0104,Śrī vasuṁdharā vratakathā,,Kathā,T216,Yagya Ratna Shakya,Nepal Bhasa,Devanagari,Bound Mss.,Manuscript,,,19.5 cms,10.5 cms,45,8,N/A,,,,,,
W1NPL150-I1NPL150,W1NPL150,I1NPL150,0105,Śrī upaguptāśoka saṁvāde aṣṭamīvrata mahāmāhātmya,,Mahātmya,T25,Yagya Ratna Shakya,Nepal Bhasa,Devanagari,Thyāsaphū,Manuscript,NS 1075,1954 CE,25.5 cms,8.5 cms,185,9,N/A,,,,,,
W1NPL176-I1NPL176,W1NPL176,I1NPL176,0106,Śrī śrī śrī ānandādi lokeśvarāya namaḥ,,Stotra,T67,Kiran Shakya,Sanskrit/Nepal Bhasa,Devanagari,Bound Mss.,Manuscript,BS 2038,1981 CE,24 cms,17.5 cms,40,13,N/A,,,,,,
W1NPL14-I1NPL14,W1NPL14,I1NPL14,0014,Śrī samvarodaya tantram,,Tantra,T2129,Yagya Ratna Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,,,24.2 cms,9.1 cms,95,6,N/A,,,,,,
W1NPL145-I1NPL145,W1NPL145,I1NPL145,0015,Śrī mattyahorātra caityasevānuśaṁsā,,Avadāna,T1779,Yagya Ratna Shakya,Sanskrit,Devanagari,Thyāsaphū,Manuscript,NS 972,1851 CE,26 cms,10.5 cms,18,9,N/A,,,,,,
W1NPL199-I1NPL199,W1NPL199,I1NPL199,0016,Śrī lakṣacaitya vratakathā śloka,,Vratakathā,T100,Yagya Ratna Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,,,24.8 cms,11 cms,11,7,N/A,,,,,,
W1NPL26-I1NPL26,W1NPL26,I1NPL26,0026,Śrī gaṇeṣacauthī vrata kathā,,Kathā (Hindu?),T216,Yagya Ratna Shakya,Nepal Bhasa,Pracalita,Yellow Paper,Manuscript,,,22cms,11cms,21,7,N/A,,,,,,
W1NPL149-I1NPL149,W1NPL149,I1NPL149,0027,Śrī buddhadharma saṁghānusmṛti,,Meditation manual,T200,Yagya Ratna Shakya,Sanskrit,Pracalita,Yellow Paper,Manuscript,,,25.5 cms,11 cms,3,7,N/A,,,,,,
W1NPL161-I1NPL161,W1NPL161,I1NPL161,0028,Śrī āryatārā bhaṭṭārikāyānāmāṣṭottara śatakaṁ buddhabhāṣitaṁ,,Stotra,T67,Yagya Ratna Shakya,Sanskrit,Pracalita,Thyāsaphū,Manuscript,,,20 cms,7 cms,8,5,N/A,,,,,,
W1NPL106-I1NPL106,W1NPL106,I1NPL106,0029,Śrī ārya tārā vrata vidhāna,,Pūjāvidhi,T977,Yagya Ratna Shakya,Sanskrit/Nepal Bhasa,Pracalita,Thyāsaphū,Manuscript,BS 2019,1962 CE,23 cms,11 cms,24,7,N/A,,,,,,
