P2GS1101,P2GS1103
P2JM15,P6986
P2JM213,P692
P2JM259,P8741
P2JM3,P1GS105233
P2JM344,P740
P2JM345,P10497
P2JM352,P8LS13216
P2JM369,P748
P2JM416,P2JM443
P3048,P2607
P3164,P316
P3362,P7166
P3693,P6212
P376,P166
P381,P8LS12087
P3962,P0RK695
P3AG38,P3JM110
P3JT12431,P1KG5008
P3JT12492,P1701
P3JT4938,P2273
P4011,P8966
P4020,P3092
P4055,P1138
P4110,P3174
P4750,P7997
P476,P856
P4CZ15614,P39
P4CZ301808,P5091
P5172,P7472
P5233,P5955
P5272,W4838
P5445,P5444
P5744,P3871
P5890,P8LS12746
P5977,P7404
P5983,P6011
P6127,P1544
P636,P4043
P6507,P5920
P6545,P273
P6609,P707
P6675,P7134
P687,P369
P6950,P1845
P7192,P3101
P7325,P5011
P7690,P2562
P7710,P5642
P7773,P7798
P7940,P9252
P7974,T2CZ10402
P8007,P3AG53
P8154,P4CZ16819
P8189,P5782
P8262,P00KG07267
P8285,P6334
P8307,P5969
P8465,P1367
P8683,P7483
P8709,P731
P8720,P00EGS101795
P8734,P5291
P876,P7857
P8782,P6006
P8809,P4580
P8LS12032,P5642
P8LS12077,P329
P8LS12178,P3231
P8LS12197,P8702
P8LS12201,P3998
P8LS12202,P2CZ7866
P8LS12606,P2296
P8LS12612,P4122
P8LS12753,P5162
P8LS12944,P4688
P8LS13016,P5619
P8LS13142,P8452
P8LS13143,P8453
P8LS13144,P7031
P8LS13145,P2597
P8LS13323,P199
P8LS13463,P1560
P8LS13662,P3835
P8LS13757,P3827
P8LS14039,P0RK1112
P8LS1421,P2744
P8LS14228,P4CZ15150
P8LS1424,P9586
P8LS4259,P2JM411
P9394,P9396
P9432,P1258
P9463,P4553
P9956,P0RK431
R8LS13048,R10MS14279
R8LS13115,R8LS12858
R8LS13165,R8LS13249
R8LS13386,R8LS13078
T00AG01173,W3JT13386
T00AG01318,T1432
T00AG01367,T463
T00AG0331,T2101
T00EGS1017130,T220
T00KG03925,T186
T1035,P1056
T1048,T2251
T1080,G3998
T116,T753
T1170,T203
T11MS52,T208
T124,T2GS1192
T1271,W4CZ321175
T1525,T2MS5993
T1526,T2177
T1579,2GS1087
T1583,T1483
T1752,G2MS14908
T1773,T1408
T180,G1398
T1806,T219
T1957,T1111
T1960,G2MS13780
T1965,T2623
T1AT298,T1351
T1AT304,T847
T1AT472,T479
T1GS108078,T1CZ91
T1GS110791,T1044
T1GS147805,T837
T1KG3852,T1PD95804
T1PD105575,G1PD105573
T2031,T1232
T2059,T2552
T2122,G323
T2216,G3CN2029
T223,G1538
T224,G2GS1089
T226,G2145
T227,G2GS1090
T2286,T2051
T2355,G2MS13755
T236,G523
T239,W21667
T2402,T1GS149121
T2436,T1125
T2547,W4CZ16793
T2590,G233
T293,G2GS1127
T296,G2317
T2CZ8036,W4CZ10510
T2DB4532,T2064
T2GS1167,T435
T2GS1224,T774
T2MS11381,T720
T2MS13818,T1357
T2MS14937,T969
T303,T336
T31,T1134
T318,G3219
T334,G162
T345,P6753
T357,G337
T362,G2203
T366,G3170
T367,G17
T396,W19740
T3JT13429,T279
T420,G2944
T4CZ15448,T4CZ15589
T542,T140
T604,T2GS1171
T621,W10MS11135
T689,T2GS1157
T71,G104
T726,T603
T766,T2GS1191
T775,G2530
T776,G160
T777,G2491
T779,G3004
T781,G2147
T783,G247
T784,G3005
T785,G880
T786,G3182
T787,G1196
T790,G33
T796,G416
T797,G977
T798,G2324
T864,G3090
T8LS14945,T1804
T914,T693
P0RK240,P7401
P10257,P7009
P0RK405,P10172
P3835,P8224
P0RK302,P7588
P8LS13561,P10023
P0RK662,P4CZ15467
P3395,P3423
P8LS13738,P3992
P0RK983,P10040
P0RK1200,P10100
P0RK405,P10172
P3072,P2285
